# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Aug  5 15:56:09 2019
#
# User preference: *
#
# CONSTRAINT:  order by fpl_hostname asc
#
# COLUMN fpl_hostname:   Host Name
# COLUMN fpl_letter:     Planet Letter
# COLUMN fpl_name:       Planet Name
# COLUMN fpl_discmethod: Discovery Method
# COLUMN fpl_controvflag: Controversial Flag
# COLUMN fpl_disc:       Year of Discovery
# COLUMN fpl_orbper:     Orbital Period [days]
# COLUMN fpl_smax:       Orbit Semi-Major Axis [AU]
# COLUMN fpl_eccen:      Eccentricity
# COLUMN fpl_bmasse:     Planet Mass or M*sin(i) [Earth mass]
# COLUMN fpl_bmassprov:  Planet Mass or M*sin(i) Provenance
# COLUMN fpl_rade:       Planet Radius [Earth radii]
# COLUMN fpl_dens:       Planet Density [g/cm**3]
# COLUMN fpl_eqt:        Equilibrium Temperature [K]
# COLUMN fpl_tranflag:   Planet Transit Flag
# COLUMN fpl_cbflag:     Planet Circumbinary Flag
# COLUMN fpl_snum:       Number of Stars in System
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN fst_dist:       Distance [pc]
# COLUMN fst_optmag:     Optical Magnitude [mag]
# COLUMN fst_optmagband: Optical Magnitude Band
# COLUMN fst_nirmag:     Near-IR Magnitude [mag]
# COLUMN fst_nirmagband: Near-IR Magnitude Band
# COLUMN fst_spt:        Spectral Type
# COLUMN fst_teff:       Effective Temperature [K]
# COLUMN fst_logg:       Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN fst_lum:        Stellar Luminosity [log10(Solar luminosity)]
# COLUMN fst_mass:       Stellar Mass [Solar mass]
# COLUMN fst_rad:        Stellar Radius [Solar radii]
# COLUMN fst_met:        Stellar Metallicity [dex]
# COLUMN fst_metratio:   Metallicity Ratio
# COLUMN fst_age:        Stellar Age [Gyr]
#
loc_rowid,fpl_hostname,fpl_letter,fpl_name,fpl_discmethod,fpl_controvflag,fpl_disc,fpl_orbper,fpl_smax,fpl_eccen,fpl_bmasse,fpl_bmassprov,fpl_rade,fpl_dens,fpl_eqt,fpl_tranflag,fpl_cbflag,fpl_snum,ra_str,ra,dec_str,dec,fst_dist,fst_optmag,fst_optmagband,fst_nirmag,fst_nirmagband,fst_spt,fst_teff,fst_logg,fst_lum,fst_mass,fst_rad,fst_met,fst_metratio,fst_age
1,11 Com,b,11 Com b,Radial Velocity,0,2007,326.03000000,1.290000,0.231000,6165.60000,Msini,12.100,19.10000,,0,0,1,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,93.37,4.740,V (Johnson),2.282,Ks (2MASS),K0 III,4742.00,2.31,2.243,2.70,19.00,-0.350,[Fe/H],
2,11 UMi,b,11 UMi b,Radial Velocity,0,2009,516.21997000,1.530000,0.080000,4684.81420,Msini,12.300,13.80000,,0,0,1,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,125.72,5.016,V (Johnson),1.939,Ks (2MASS),K4 III,4213.00,1.93,2.430,2.78,29.79,-0.020,[Fe/H],1.560
3,14 And,b,14 And b,Radial Velocity,0,2008,185.84000000,0.830000,0.000000,1525.50000,Msini,12.900,3.90000,,0,0,1,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,75.59,5.227,V (Johnson),2.331,Ks (2MASS),G8 III,4813.00,2.63,1.763,2.20,11.00,-0.240,[Fe/H],4.500
4,14 Her,b,14 Her b,Radial Velocity,0,2002,1773.40002000,2.930000,0.370000,1481.08780,Msini,12.900,3.79000,,0,0,1,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,17.94,6.610,V (Johnson),4.714,Ks (2MASS),K0 V,5338.00,4.45,-0.151,0.90,0.93,0.410,[Fe/H],5.240
5,16 Cyg B,b,16 Cyg B b,Radial Velocity,0,1996,798.50000000,1.660000,0.680000,565.73740,Msini,13.500,1.26000,,0,0,3,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.15,6.250,V (Johnson),4.651,Ks (2MASS),G2.5 V,5750.00,4.36,0.100,1.08,1.13,0.060,[Fe/H],7.400
6,18 Del,b,18 Del b,Radial Velocity,0,2008,993.30000000,2.600000,0.080000,3273.50000,Msini,12.500,9.21000,,0,0,1,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,76.38,5.506,V (Johnson),3.366,Ks (2MASS),G6 III,4979.00,2.82,1.602,2.30,8.50,-0.052,[Fe/H],1.100
7,1RXS J160929.1-210524,b,1RXS J160929.1-210524 b,Imaging,0,2008,,330.000000,,3000.00000,Mass,18.647,2.54000,1700,0,0,1,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,145.00,12.057,G (Gaia),8.916,Ks (2MASS),K7 V,4060.00,,-0.370,0.85,1.18,,,0.005
8,24 Boo,b,24 Boo b,Radial Velocity,0,2018,30.35060000,0.190000,0.042000,289.22530,Msini,13.900,0.59200,,0,0,1,14h28m37.81s,217.157547,+49d50m41.5s,49.844852,96.25,5.580,V (Johnson),3.159,Ks (2MASS),G3 IV,4893.00,2.42,1.774,0.99,10.64,-0.770,[Fe/H],6.920
9,24 Sex,b,24 Sex b,Radial Velocity,0,2010,452.80000000,1.333000,0.090000,632.46000,Msini,13.400,1.44000,,0,0,1,10h23m28.37s,155.868210,-00d54m08.1s,-0.902244,72.21,6.441,V (Johnson),4.285,Ks (2MASS),K0 IV,5098.00,3.50,1.164,1.54,4.90,-0.030,[Fe/H],2.700
10,24 Sex,c,24 Sex c,Radial Velocity,0,2010,883.00000000,2.080000,0.290000,273.32000,Msini,13.900,0.55900,,0,0,1,10h23m28.37s,155.868210,-00d54m08.1s,-0.902244,72.21,6.441,V (Johnson),4.285,Ks (2MASS),K0 IV,5098.00,3.50,1.164,1.54,4.90,-0.030,[Fe/H],2.700
